wd,ws
259,1.377265834
265,0.865410999
239,0.511541888
237,1.388713482
199,1.114107402
195,0.845348688
180,0.539515663
191,1.082260501
71,0.622168853
78,1.145341793
103,0.764351135
73,1.255395963
227,1.234005239
224,1.453767645
217,1.003363663
218,1.210826753
172,1.280760547
170,1.3570264
207,0.830552958
173,0.799192494
100,2.302627094
117,1.798557897
94,1.623212107
109,1.795877814
77,1.419292654
89,0.890245472
87,1.146099946
105,0.650908065
85,1.963492567
85,1.707699372
75,2.436471426
102,2.047486416
75,3.230155979
94,2.913747772
104,2.535257331
85,2.716208247
96,3.753148641
116,3.8870139
83,3.804622281
114,3.515918501
53,5.981355342
28,6.332439314
56,5.791539742
21,5.809900981
49,8.117233821
38,8.242114847
71,8.247404902
63,8.148390158
14,6.669491088
13,6.799146439
26,6.723956591
43,6.654014208
367,5.343199312
368,5.188621364
361,4.95445957
368,5.042120701
351,5.035967322
340,4.76838846
323,4.750017434
326,5.425916843
287,3.145830492
304,2.632511725
315,3.425153191
317,2.528240178
261,3.449343603
262,3.074367288
256,2.827201345
260,3.074212202
254,4.11915876
262,3.962597259
247,3.892963487
244,3.609999559
260,1.53292283
235,1.585774816
257,1.663740477
255,1.640817579
239,1.959512522
228,1.769155193
238,2.345515627
217,2.203928659
238,1.856279672
236,2.471481252
248,2.400002312
221,2.210719137
219,2.563266522
216,3.050094695
220,2.813794735
210,2.974336264
230,2.580513314
229,3.003047036
208,3.190965002
238,3.458343257
218,2.085441625
